name_eng,rating,studio,kind,main_genre,secondary_genre,year,quarter,status,total_episodes,episodes_aired,duration_min,positive_count_r,negative_count_r,planned,score,success
Ichigo 100%,2,2,0,37,11,2005,2,0,12,0,23,640,461,1949,6.65,0
InuYasha,2,0,0,37,34,2000,4,0,167,0,24,3586,503,11535,7.85,1
Konjiki no Gash Bell!!,2,3,0,37,17,2003,2,0,150,0,23,228,74,1105,7.54,1
Kyou kara Maou!,2,12,0,15,17,2004,2,0,78,0,25,1568,553,4877,7.66,1
Madlax,2,17,0,37,44,2004,2,0,26,0,24,396,164,3062,7.03,1
Jungle wa Itsumo Hare nochi Guu,2,55,0,11,32,2001,2,0,26,0,23,694,111,1412,7.83,1
Jungle wa Itsumo Hare nochi Guu Deluxe,2,55,2,11,32,2002,3,0,6,0,26,279,37,228,7.81,1
Jungle wa Itsumo Hare nochi Guu Final,2,55,2,11,32,2003,4,0,7,0,26,229,36,155,7.64,1
Hoshi no Koe,2,56,2,44,36,2002,1,0,1,0,24,3988,1741,6642,7.17,1
Ikkitousen,0,5,0,13,28,2003,3,0,13,0,24,1719,1499,5529,6.42,0
Hitsuji no Uta,1,2,2,44,39,2003,2,0,4,0,30,240,315,2159,6.19,0
Happy☆Lesson,2,57,2,11,36,2001,3,0,5,0,30,41,34,241,6.61,0
Happy☆Lesson (TV),2,57,0,11,44,2002,2,0,13,0,23,134,90,671,6.62,0
Happy☆Lesson: Advance,2,57,0,11,36,2003,3,0,13,0,24,83,51,360,6.81,0
Happy☆Lesson: The Final,2,57,2,11,36,2004,2,0,3,0,30,54,30,158,6.8,0
Hajime no Ippo,2,2,0,37,11,2000,4,0,75,0,23,7993,431,10083,8.74,1
Hajime no Ippo: Champion Road,2,2,3,37,11,2003,2,0,1,0,90,2364,180,1043,8.27,1
Hajime no Ippo: Mashiba vs. Kimura,2,2,2,37,11,2003,3,0,1,0,61,2035,175,904,8.23,1
Gunparade March: Arata Naru Kougunka,2,5,0,37,44,2003,1,0,12,0,23,172,94,901,6.77,0
Gungrave,1,2,0,22,34,2003,4,0,26,0,25,5688,804,15667,7.85,1
Golden Boy,0,44,2,17,11,1995,4,0,6,0,28,14360,1438,13170,8.02,1
Bleach,2,8,0,37,34,2004,4,0,366,366,24,40072,5558,19473,7.88,1
